years,inv_points_per_year,time_taken_s,Sun_solver_jupiter_mass,Mercury_solver_sun_mass,Mercury_solver_jupiter_mass,Venus_solver_sun_mass,Venus_solver_jupiter_mass,Earth_solver_sun_mass,Earth_solver_jupiter_mass,Mars_solver_sun_mass,Mars_solver_jupiter_mass,Jupiter_solver_sun_mass
15,0.05,0.0161,-1.2456563931110909e+17,-6.1540952417575944e+19,4.226635319294703e+19,-1.2223707742953754e+20,-6.230237920355055e+18,-1.2932008172246899e+20,-2.1229941966103089e+18,-1.3203473811837592e+20,8.878893074486404e+17,-1.336479631489705e+20
15,0.02,0.0219,-1.2407062875623448e+17,-1.1564826276741528e+20,2.891968345731679e+19,-1.313034946071159e+20,-1.1017020600865733e+18,-1.3247078267592258e+20,-4.773164941409327e+17,-1.3290120370916057e+20,1.984332801264757e+16,-1.3315622362048338e+20
15,0.01,0.0296,-1.2388896217970197e+17,-1.2826302736109429e+20,8.767350126301099e+18,-1.3253602793459006e+20,-3.672972068992129e+17,-1.3282749175859862e+20,-2.4438503780770368e+17,-1.3293442829213454e+20,-1.0396121895527578e+17,-1.3298356483071081e+20
15,0.004,0.0462,-1.2378207257107118e+17,-1.3212400475503613e+20,1.4089929428658422e+18,-1.3282546955995385e+20,-1.6430056441493174e+17,-1.3287119875506879e+20,-1.6626377634482243e+17,-1.328874850029809e+20,-1.3843456635256403e+17,-1.3287834638892737e+20
15,0.002,0.0654,-1.237507416929788e+17,-1.3267036034065057e+20,2.788109580373458e+17,-1.3284656881924537e+20,-1.35494514933124e+17,-1.3285721888793331e+20,-1.5297706514978746e+17,-1.3286054876117348e+20,-1.433243491205365e+17,-1.3284304663915777e+20
15,0.0013,0.1258,-1.2374137641233701e+17,-1.3276668669989505e+20,6.669933429981049e+16,-1.3284522545360005e+20,-1.3016768381552384e+17,-1.3284938168085155e+20,-1.50101485423652e+17,-1.3285031313348687e+20,-1.4422355955931517e+17,-1.3283125752337057e+20
25,0.1,0.0189,-1.2563295149264384e+17,-4.206646419276726e+18,-5.055981036132559e+19,-9.239356977078005e+19,-5.989032404921132e+18,-1.1654167354221591e+20,-6.821658392816536e+18,-1.2831584440082783e+20,-1.218011172500606e+18,-1.3376827492291256e+20
25,0.05,0.0201,-1.2530603889302584e+17,-6.1224873574388924e+19,5.5054326089924166e+19,-1.2189157070836965e+20,-1.2053296973556454e+18,-1.2885649426800905e+20,-1.6553577403862676e+18,-1.3191348198557978e+20,-3.8412970525341965e+17,-1.3334718605811683e+20
25,0.02,0.0316,-1.2502517731528842e+17,-1.1555005020050384e+20,3.539539076911127e+19,-1.3117986075931061e+20,-2.6030395344591622e+17,-1.323371542840491e+20,-3.681613851304863e+17,-1.3283226444178414e+20,-1.7990950739513418e+17,-1.3305163002337698e+20
25,0.01,0.0275,-1.249304298018427e+17,-1.2821980597830592e+20,9.918151148391434e+18,-1.3249101850798473e+20,-1.570528068339689e+17,-1.3278027826456255e+20,-1.9952013496184394e+17,-1.3290513074482417e+20,-1.5221116779803526e+17,-1.3294916085748516e+20
25,0.004,0.0502,-1.2487227195698814e+17,-1.321241043668717e+20,1.5433062919101082e+18,-1.328256063945927e+20,-1.3101746319126757e+17,-1.3287104400310405e+20,-1.4435577642850227e+17,-1.3289149127696373e+20,-1.445242628417956e+17,-1.3288648671563851e+20
25,0.002,0.106,-1.2485273319835557e+17,-1.3268516079678038e+20,2.938651217727353e+17,-1.3286127553924976e+20,-1.2747406920524874e+17,-1.328719442253228e+20,-1.3528838083449128e+17,-1.3287738777758699e+20,-1.4342208825898374e+17,-1.3286537917829711e+20
